Name,Platform,Year,Genre,Publisher
J-League Pro Soccer Club wo Tsukurou!,SAT,1996,Sports,Sega
Littlest Pet Shop: Friends,Wii,2009,Simulation,Electronic Arts
We Cheer 2,Wii,2009,Simulation,Namco Bandai Games
Drakan: The Ancients' Gates,PS2,2002,Adventure,Sony Computer Entertainment
Call of Duty: Modern Warfare 3: Defiance,DS,2011,Shooter,Activision
"SpongeBob SquarePants: Lights, Camera, Pants!",XB,2005,Misc,THQ
Resident Evil: Revelations,X360,2013,Action,Capcom
Tony Hawk: Shred,X360,2010,Sports,Activision
Choro Q3,PS,1998,Racing,Takara
Tokyo Jungle,PS3,2012,Action,Sony Computer Entertainment
Lemony Snicket's A Series of Unfortunate Events,GC,2004,Platform,Activision
Army of Two: The Devil's Cartel,X360,2013,Shooter,Electronic Arts
Puppeteer,PS3,2013,Platform,Sony Computer Entertainment Europe
Bionicle: Matoran Adventures,GBA,2002,Platform,Electronic Arts
Tom Clancy's Splinter Cell: Double Agent,PS3,2007,Action,Ubisoft
Armored Core: Master of Arena,PS,1999,Simulation,From Software
Fire Emblem: Thracia 776,SNES,1999,Strategy,Nintendo
Resident Evil: Deadly Silence,DS,2006,Action,Capcom
Desert Falcon,2600,1987,Shooter,Atari
Legendary,X360,2008,Shooter,Atari
Peter Jackson's King Kong: The Official Game of the Movie,X360,2005,Action,Ubisoft
Tengai Makyou: Daishi no Mokushiroku - The Apocalypse IV,SAT,1997,Role-Playing,Hudson Soft
Rayman DS,DS,2005,Platform,Ubisoft
A.C.E.: Another Century's Episode 3: The Final,PS2,2007,Simulation,Banpresto
ATV: Quad Power Racing,GBA,2002,Racing,Liquid Games
Zoo Tycoon 2: Ultimate Collection,PC,2008,Strategy,Microsoft Game Studios
Backyard NFL Football,GC,2002,Sports,Infogrames
All-Star Baseball 2003,XB,2002,Sports,Acclaim Entertainment
MTX Mototrax,PS2,2004,Racing,Activision
Tomb Raider: Underworld (Others sales),PS2,2009,Adventure,Eidos Interactive
NHL Rock the Rink,PS,1999,Sports,Electronic Arts
NBA ShootOut 2004,PS2,2003,Sports,Sony Computer Entertainment
Super Robot Taisen R,GBA,2002,Strategy,Banpresto
Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,Adventure,Codemasters
Castlevania: Harmony of Dissonance,GBA,2002,Platform,Konami Digital Entertainment
Formula One 2001,PS2,2001,Racing,Sony Computer Entertainment
Doukyuusei if,SAT,1996,Role-Playing,NEC
The Penguins of Madagascar,DS,2010,Action,THQ
Pirates of the Caribbean: Dead Man's Chest,DS,2006,Adventure,Disney Interactive Studios
Baldur's Gate: Dark Alliance II,XB,2004,Role-Playing,Acclaim Entertainment
Madden NFL 2005,DS,2004,Sports,Electronic Arts
MVP Baseball 2004,GC,2004,Sports,Electronic Arts
Polarium,DS,2004,Puzzle,Nintendo
Super Street Fighter II: Turbo Revival,GBA,2001,Fighting,Ubisoft
Secret Weapons Over Normandy,XB,2003,Simulation,LucasArts
The Elder Scrolls IV: Oblivion,PC,2006,Role-Playing,Take-Two Interactive
Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!,PS,1998,Sports,Axela
Kidou Senshi Gundam: Giren no Yabou,SAT,1998,Strategy,Namco Bandai Games
Metroid Prime Pinball,DS,2005,Misc,Nintendo
Teen Titans,PS2,2006,Action,THQ
Reload: Target Down,Wii,2010,Shooter,Mastiff
Madden NFL 08,DS,2007,Sports,Electronic Arts
Spelling Challenges and more!,PSP,2007,Misc,Crave Entertainment
Crusaders of Might and Magic,PS,1999,Role-Playing,3DO
One Piece: Pirate Warriors 3,PS3,2015,Action,Namco Bandai Games
Star Wars The Clone Wars: Republic Heroes,PS2,2009,Action,LucasArts
Bomberman Generation,GC,2002,Adventure,Vivendi Games
Sega Rally Revo,PSP,2007,Racing,Sega
TOCA Race Driver 2: Ultimate Racing Simulator,PSP,2005,Racing,Codemasters
Surfing H3O,PS2,2000,Sports,Take-Two Interactive
Romance of the Three Kingdoms II,SNES,1991,Strategy,Tecmo Koei
Ice Age 2: The Meltdown,GBA,2006,Platform,Vivendi Games
The Suite Life of Zack & Cody: Tipton Trouble,DS,2006,Action,Disney Interactive Studios
Final Fantasy Type-0,XOne,2015,Role-Playing,Square Enix
NASCAR 09,X360,2008,Racing,Electronic Arts
World Series of Poker,XB,2005,Misc,Activision
NASCAR 09,PS3,2008,Racing,Electronic Arts
Game of Thrones,X360,2012,Role-Playing,Focus Home Interactive
Galactic Attack,SAT,1994,Shooter,Acclaim Entertainment
Power Pro Kun Pocket 2,GB,2000,Sports,Konami Digital Entertainment
Happy Feet,GC,2006,Action,Midway Games
Zoo Resort 3D,3DS,2011,Simulation,Ubisoft
Smart Girl's Playhouse,DS,2007,Misc,505 Games
Walt Disney's The Jungle Book: Rhythm N'Groove,PS2,2003,Misc,Disney Interactive Studios
Triple Play 2002,XB,2002,Sports,Electronic Arts
Evil Zone,PS,1998,Fighting,Titus
Spy Kids Challenger,GBA,2002,Platform,Disney Interactive Studios
K-ON! Houkago Live!!,PSP,2010,Misc,Sega
Monsters vs. Aliens,Wii,2009,Action,Activision
A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,ArtDink
Exhibition,XB,2001,Misc,Microsoft Game Studios
Scrabble,PS,1999,Misc,Ubisoft
Silent Hunter 5: Battle of the Atlantic,PC,2010,Simulation,Ubisoft
Amped 2,XB,2003,Sports,Microsoft Game Studios
Blaster Master: Blasting Again,PS,2000,Shooter,Sunsoft
Final Fantasy Crystal Chronicles: Echoes of Time,Wii,2009,Role-Playing,Square Enix
College Hoops 2K6,PS2,N/A,Sports,Unknown
Cartoon Network Collection: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A
NHL 08,PS3,2007,Action,Electronic Arts
How to Train Your Dragon 2,3DS,2014,Adventure,Little Orbit
Just Dance 2015,PS3,2014,Misc,Ubisoft
The Legend of Legacy,3DS,2015,Role-Playing,FuRyu
Juiced 2: Hot Import Nights,PS3,2007,Racing,THQ
WipEout XL,PS,1996,Racing,Psygnosis
LEGO Star Wars III: The Clone Wars,PC,2011,Action,LucasArts
The Powerpuff Girls: Chemical X-Traction,PS,2001,Action,BAM! Entertainment
Dynasty Warriors 6 (JP sales),PS2,2008,Action,Tecmo Koei
Dead or Alive Xtreme 2,X360,2006,Sports,Tecmo Koei
Jonah Lomu Rugby Challenge,PS3,N/A,Sports,Home Entertainment Suppliers
Ben 10 Triple Pack,DS,2011,Misc,D3Publisher
PlayStation VR Worlds,PS4,2016,Misc,Sony Computer Entertainment
Hunted: The Demon's Forge,PS3,2011,Action,Bethesda Softworks
Men of Valor,XB,2004,Shooter,Vivendi Games
Bomberman Tournament,GBA,2001,Puzzle,Activision
Project Runway,Wii,2010,Simulation,Atari
Scrabble,DS,2009,Misc,Ubisoft
Medal of Honor European Assault,GC,2005,Shooter,Electronic Arts
Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega
NHL 08,X360,2007,Action,Electronic Arts
Midway's Greatest Arcade Hits,GBA,2001,Misc,Midway Games
Disney Sing It: Pop Hits,PS3,2009,Misc,Disney Interactive Studios
WipEout Fusion,PS2,2002,Racing,Sony Computer Entertainment
Final Fantasy II,WS,2001,Role-Playing,SquareSoft
Prison Break: The Conspiracy,PS3,2010,Action,Deep Silver
Marie no Atelier: Salburg no Renkinjutsushi,PS,1997,Role-Playing,Gust
NHL 06,XB,2005,Sports,Electronic Arts
Golden Nugget Casino,GBA,2004,Misc,Majesco Entertainment
Imagine: Ballet Star,DS,2008,Simulation,Ubisoft
Anno 2205,PC,2015,Strategy,Ubisoft
Minute to Win It,Wii,2010,Misc,Zoo Games
Atari Anthology,XB,2004,Misc,Atari
Ultimate Fighting Championship,PS,2000,Fighting,Ubisoft
Animal Paradise,DS,2007,Simulation,Empire Interactive
XIII,XB,2003,Shooter,Ubisoft
Up,PS3,2009,Action,THQ
Samurai Shodown II,NG,1994,Fighting,SNK
My Virtual Tutor: Reading Adventure Kindergarten to First,DS,2009,Misc,Mentor Interactive
SpongeBob's Truth or Square (US sales),X360,2009,Action,THQ
Michael Jackson: The Experience,DS,2010,Misc,Ubisoft
MotoGP '07,X360,2007,Racing,THQ
Cars,X360,2006,Racing,THQ
Fox Sports College Hoops '99,N64,1998,Sports,Fox Interactive
Wheel of Fortune,N64,1997,Misc,Take-Two Interactive
MRC: Multi-Racing Championship,N64,1997,Racing,Ocean
F1 Pole Position 64,N64,1997,Racing,Ubisoft
Gex 64: Enter the Gecko,N64,1998,Action,GT Interactive
Wayne Gretzky's 3D Hockey '98,N64,1997,Sports,Midway Games
NBA Courtside 2 featuring Kobe Bryant,N64,1999,Sports,Nintendo
Hybrid Heaven,N64,1999,Role-Playing,Konami Digital Entertainment
NBA Showtime: NBA on NBC,N64,1999,Sports,Midway Games
Hatsune Miku: Project Diva F 2nd,PS3,2014,Misc,Sega
Beyblade: Metal Fusion,DS,2009,Role-Playing,Hudson Soft
Karaoke Joysound Wii,Wii,2008,Misc,Hudson Soft
Madagascar: Escape 2 Africa,X360,2008,Action,Activision
Need for Speed Rivals,PC,2013,Racing,Electronic Arts
The Mummy: Tomb of the Dragon Emperor,PS2,2008,Action,Vivendi Games
Def Jam Vendetta,GC,2003,Fighting,Electronic Arts
Scooby-Doo! Unmasked,PS2,2005,Platform,THQ
Penny Racers,PS,1996,Racing,Sony Computer Entertainment
The Sims 2,XB,2005,Simulation,Electronic Arts
Spider-Man: Web of Shadows,Wii,2008,Action,Activision
Caesars Palace II,PS,1998,Misc,Interplay
The Bureau: XCOM Declassified,PS3,2013,Shooter,Take-Two Interactive
World Series Baseball 2K3,PS2,2003,Sports,Sega
Tony Hawk's Proving Ground,Wii,2007,Sports,Activision
Pro Yakyuu Team o Tsukurou!,SAT,1998,Sports,Sega
Indiana Jones and the Staff of Kings,PSP,2009,Action,Activision
The Outfit,X360,2006,Action,THQ
Sentimental Graffiti,SAT,1998,Adventure,NEC Interchannel
Avatar: The Last Airbender - The Burning Earth,Wii,2007,Action,THQ
Don King Presents: Prizefighter,X360,2008,Sports,Take-Two Interactive
Shin Megami Tensei x Fire Emblem,WiiU,2015,Role-Playing,Nintendo
The Backyardigans,DS,2009,Adventure,Take-Two Interactive
Yakuza Zero: The Place of Oath,PS3,2015,Action,Sega
Devil Kings,PS2,2005,Action,Capcom
NBA Jam Tournament Edition,PS,1995,Sports,Acclaim Entertainment
Medabots AX: Metabee,GBA,2002,Role-Playing,Natsume
Tennis no Oji-Sama: Genius Boys Academy,GBA,2002,Sports,Konami Digital Entertainment
Kung Fu Panda 2,X360,2011,Action,THQ
Bolt,X360,2008,Adventure,Disney Interactive Studios
Shadow Man,PS,1998,Action,Acclaim Entertainment
Spider-Man: Edge of Time,X360,2011,Action,Activision
Freshly-Picked: Tingle's Rosy Rupeeland,DS,2006,Role-Playing,Nintendo
Netsu Chu! Pro Yakyuu 2002,PS2,2002,Sports,Namco Bandai Games
"Barbie: Jet, Set & Style!",Wii,2011,Misc,THQ
L.A. Noire: The Complete Edition,PC,2011,Adventure,Take-Two Interactive
Dynasty Warriors 6,PS2,2008,Action,Tecmo Koei
Porky's,2600,1982,Action,20th Century Fox Video Games
America's Army: Rise of a Soldier,XB,2005,Shooter,Ubisoft
Grandia,PS,1999,Role-Playing,Ubisoft
Daisy Fuentes Pilates,Wii,2009,Sports,505 Games
F1 2000,PS,2000,Racing,Electronic Arts
Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,2006,Adventure,Ubisoft
Petz: Crazy Monkeyz,Wii,2008,Simulation,Ubisoft
WRC: World Rally Championship,PS2,2001,Racing,Sony Computer Entertainment
Littlest Pet Shop: Country Friends,DS,2009,Simulation,Electronic Arts
"Ed, Edd n Eddy: The Mis-Edventures",GC,2005,Platform,Midway Games
Cars: Mater-National Championship,PS2,2007,Racing,THQ
Armored Core 4,X360,2007,Simulation,505 Games
Dreamworks Madagascar Kartz,X360,2009,Racing,Activision
Dune 2000,PS,1999,Strategy,Electronic Arts
Monster Hunter G,Wii,2009,Role-Playing,Capcom
UEFA Euro 2008 Austria-Switzerland,PSP,2008,Sports,Electronic Arts
SBK Superbike World Championship,PS3,2008,Racing,Black Bean Games
Indiana Jones and the Staff of Kings,DS,2009,Action,Activision
X-Men Origins: Wolverine,Wii,2009,Action,Activision
Disgaea 2: Dark Hero Days,PSP,2009,Role-Playing,Nippon Ichi Software
Project Overkill,PS,1996,Shooter,Konami Digital Entertainment
Jumping Flash! 2,PS,1996,Platform,Sony Computer Entertainment
Nickelodeon Party Blast,GC,2002,Misc,Atari
U-Sing: Girls Night,Wii,2010,Misc,Mindscape
Major League Baseball 2K7,PS3,2007,Sports,Spike
Final Fantasy XI: Chains of Promathia,PS2,2004,Role-Playing,Square Enix
The Chronicles of Riddick: Assault on Dark Athena,PS3,2009,Shooter,Vivendi Games
Marvel: Ultimate Alliance 2,PSP,2009,Role-Playing,Activision
Choro Q2,PS,1997,Racing,Takara
Teenage Mutant Ninja Turtles: Danger of the Ooze,PS3,2014,Adventure,Activision
"What Did I Do to Deserve This, My Lord!? 2",PSP,2008,Role-Playing,Nippon Ichi Software
X-Men Legends II: Rise of Apocalypse,GC,2005,Role-Playing,Activision
Butt Ugly Martians: B.K.M. Battles,GBA,2002,Action,Vivendi Games
Monster Jam: Path of Destruction,PS3,2010,Racing,Activision
TV Superstars,PS3,2010,Misc,Sony Computer Entertainment
Family Guy: Back to the Multiverse,X360,2012,Action,Activision
Ninja Gaiden 3,X360,2012,Action,Tecmo Koei
Sorry! / Aggravation / Scrabble Junior,GBA,2005,Misc,Zoo Digital Publishing
Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive
The Walking Dead: Season Two,PS4,2014,Adventure,Telltale Games
Create,Wii,2010,Action,Electronic Arts
Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games
NBA Courtside 2002,GC,2002,Sports,Nintendo
F1 2015,XOne,2015,Racing,Codemasters
Wipeout 2,DS,2011,Misc,Activision
Classic NES Series: Excitebike,GBA,2004,Racing,Nintendo
Classic NES Series: Xevious,GBA,2004,Shooter,Nintendo
Avatar: The Last Airbender - Into the Inferno,PS2,2008,Adventure,THQ
Sly Cooper: Thieves in Time,PSV,2013,Platform,Sony Computer Entertainment Europe
Dora the Explorer: Journey to the Purple Planet,PS2,2005,Adventure,Global Star
Tales of Hearts,DS,2008,Role-Playing,Namco Bandai Games
Digimon World: Data Squad,PS2,2006,Role-Playing,Namco Bandai Games
Catz,GBA,2005,Simulation,Ubisoft
Hitman: Absolution,PC,2012,Action,Square Enix
Stella Glow,3DS,2015,Role-Playing,Atlus
Racquet Sports,Wii,2010,Sports,Ubisoft
Jikkyou Powerful Pro Yakyuu 2001,PS,2001,Sports,Konami Digital Entertainment
Trials Fusion,XOne,2014,Racing,Ubisoft
Mega Man X Collection,PS2,N/A,Misc,Unknown
That's So Raven: Psychic on the Scene,DS,2006,Adventure,Disney Interactive Studios
Far Cry Instincts Predator,X360,2006,Shooter,Ubisoft
Tongari Boushi to Oshare na Mahou Tsukai,DS,2011,Action,Konami Digital Entertainment
Onechanbara Z2: Chaos,PS4,2014,Action,Nippon Ichi Software
Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010,Platform,D3Publisher
Skylanders SWAP Force,3DS,2013,Platform,Activision
Hasbro Family Game Night 3,PS3,2010,Misc,Electronic Arts
Panzer General,PS,1995,Strategy,Mindscape
Gallop Racer (JP),PS,1996,Sports,Tecmo Koei
Cabela's Outdoor Adventures (2009),X360,2009,Sports,Activision Value
Spawn the Eternal,PS,1997,Action,Sony Computer Entertainment
Army Men: Sarge's Heroes 2,PS,2000,Shooter,3DO
MLB,PSP,2005,Sports,Sony Computer Entertainment
Skylanders: SuperChargers,XOne,2015,Action,Activision
Ys: Memories of Celceta,PSV,2012,Action,Nihon Falcom Corporation
Britney's Dance Beat,PS2,2002,Misc,THQ
Guitar Freaks,PS,1999,Simulation,Konami Digital Entertainment
World Soccer Winning Eleven 7,PS2,2003,Sports,Konami Digital Entertainment
SRS: Street Racing Syndicate,XB,2004,Racing,Namco Bandai Games
Namco Tennis Smash Court,PS,1995,Sports,Sony Computer Entertainment
Vexx,PS2,2003,Platform,Acclaim Entertainment
Samurai Warriors 4,PS4,2014,Action,Tecmo Koei
Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games
Marvel vs. Capcom Origins,PS2,2006,Fighting,Capcom
Pro Yaky? Spirits 2011,PSP,2011,Sports,Konami Digital Entertainment
TimeSplitters: Future Perfect,PS2,2005,Shooter,Electronic Arts
Dynasty Warriors Next,PSV,2011,Action,Tecmo Koei
Atelier Meruru: Alchemist of Arland 3,PS3,2011,Role-Playing,Nippon Ichi Software
Harvest Moon: Magical Melody,GC,2005,Simulation,Ubisoft
Disney Stitch Jam,DS,2009,Misc,Disney Interactive Studios
Genma Onimusha,XB,2002,Action,Capcom
DK: King of Swing,GBA,2005,Platform,Nintendo
K-1 Revenge,PS,1997,Fighting,Xing Entertainment
Turning Point: Fall of Liberty,PS3,2008,Shooter,Codemasters
G-Police,PS,1997,Action,Psygnosis
Command & Conquer 3: Kane's Wrath,X360,2008,Strategy,Electronic Arts
Homefront,PC,2011,Shooter,THQ
Corvette,XB,2003,Racing,TDK Mediactive
Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Role-Playing,Activision
Fuel,PS3,2009,Racing,Codemasters
NBA Live 10,PSP,2009,Sports,Electronic Arts
Burnout 2: Point of Impact,XB,2003,Racing,Acclaim Entertainment
Super Monkey Ball Deluxe,PS2,2005,Misc,Sega
Kill.Switch,XB,2003,Shooter,Namco Bandai Games
BioShock 2,PC,N/A,Shooter,Take-Two Interactive
Lunar: Silver Star Harmony,PSP,2009,Role-Playing,GungHo
Peter Jackson's King Kong: The Official Game of the Movie,GC,2005,Action,Ubisoft
Dancing With The Stars,Wii,2007,Misc,Activision
Summon Night 3,PS2,2003,Role-Playing,Banpresto
Pro Yaky? Spirits 2010,PSP,2010,Sports,Konami Digital Entertainment
The Simpsons: Road Rage,GC,2001,Racing,Electronic Arts
Chibi-Robo! Zip Lash,3DS,2015,Platform,Nintendo
Dynasty Warriors 7,X360,2011,Action,Tecmo Koei
Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,PS2,2006,Misc,Sega
Total War: Attila,PC,2015,Strategy,Sega
Azurik: Rise of Perathia,XB,2001,Action,Microsoft Game Studios
All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A
Paws & Claws: Pet Resort,DS,2008,Simulation,THQ
Dragon Ball Z: Sagas,XB,2005,Fighting,Atari
Just Dance Kids 2,PS3,2011,Misc,Ubisoft
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games
Crash Tag Team Racing,PSP,2005,Racing,Vivendi Games
Sakura Wars: Atsuki Chishio Ni,PS2,2003,Role-Playing,Sega
The Price is Right 2010 Edition,Wii,2009,Misc,Ubisoft
Ms. Pac-Man: Maze Madness / Pac-Man World,GBA,2005,Puzzle,Namco Bandai Games
NHRA Championship Drag Racing,PS2,2005,Racing,ValuSoft
Monster Jam,PS2,2007,Racing,Activision
Asura's Wrath,X360,2012,Action,Capcom
Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,Marvelous Interactive
Jikkyou Powerful Pro Yakyuu 15,PS2,2008,Sports,Konami Digital Entertainment
Front Line,2600,1981,Action,Taito
Ready 2 Rumble Boxing: Round 2,N64,2000,Fighting,Midway Games
Army Men: Air Combat,N64,2000,Action,3DO
Paperboy,N64,1999,Action,Midway Games
South Park: Chef's Luv Shack,N64,1999,Misc,Acclaim Entertainment
Midway's Greatest Arcade Hits Volume 1,N64,2000,Misc,Midway Games
Road Rash 64,N64,1999,Racing,THQ
Final Fantasy Fables: Chocobo Tales,DS,2006,Adventure,Ubisoft
NCAA College Basketball 2K3,PS2,2002,Sports,Sega
Mobile Suit Gundam Battlefield Record U.C.0081,PS3,2009,Action,Namco Bandai Games
NHL 17,XOne,2016,Sports,Electronic Arts
NCAA March Madness 2004,XB,2003,Sports,Electronic Arts
Lucky Luke,PS,1998,Platform,Ocean
Bakugan: Battle Brawlers,X360,2009,Action,Activision
Fantastic 4,GC,2005,Action,Activision
LEGO The Hobbit,3DS,2014,Action,Warner Bros. Interactive Entertainment
Tony Hawk's American Sk8land,GBA,2005,Sports,Activision
Singularity,PS3,N/A,Shooter,Unknown
Metro 2033,PC,2010,Shooter,THQ
Densetsu no Stafi 3,GBA,2004,Platform,Nintendo
Forsaken,PS,1998,Shooter,Acclaim Entertainment
Imagine: Teacher Class Trip,DS,2009,Adventure,Ubisoft
Ratchet & Clank: Going Commando (JP weekly sales),PS2,2003,Action,Sony Computer Entertainment
Dragon Ball: XenoVerse,X360,2015,Fighting,Namco Bandai Games
Valhalla Knights,PSP,2006,Role-Playing,Rising Star Games
The Hobbit,XB,2003,Platform,Vivendi Games
Destiny: The Collection,PS4,2016,Shooter,Activision
FIFA 14,3DS,2013,Sports,Electronic Arts
Dance Dance Revolution: Disney Channel Edition,PS2,2008,Simulation,Konami Digital Entertainment
The Incredible Hulk,DS,2008,Action,Sega
The Adventures of Tintin: The Game,X360,2011,Action,Ubisoft
Checkers,2600,1980,Misc,Atari
Front Mission: Gun Hazard,SNES,1996,Role-Playing,SquareSoft
Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software
Zumba Fitness: World Party,XOne,2013,Misc,Majesco Entertainment
Luminous Arc,DS,2007,Role-Playing,Rising Star Games
Boogie SuperStar,Wii,2008,Misc,Electronic Arts
4x4 EVO 2,XB,2001,Racing,Gathering of Developers
Juiced 2: Hot Import Nights,DS,2007,Racing,THQ
XS Airboat Racing,PS,2002,Racing,XS Games
Cradle of Rome,DS,2008,Puzzle,Rising Star Games
Grand Theft Auto,GBA,2004,Action,Take-Two Interactive
Avalon Code,DS,2008,Role-Playing,Rising Star Games
Dora the Explorer: Super Star Adventures,GBA,2004,Adventure,Game Factory
Star Trek: The Game,PS3,2013,Action,Namco Bandai Games
Dreamcast Collection,X360,2011,Misc,Sega
Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,Capcom
Rocket League,XOne,2016,Sports,505 Games
My Street,PS2,2003,Misc,Sony Computer Entertainment
Spider-Man: Shattered Dimensions,Wii,2010,Action,Activision
Wild 9,PS,1998,Action,Interplay
Ghost Rider,PSP,2007,Action,Take-Two Interactive
Shadow Hearts: Covenant,PS2,2004,Role-Playing,Midway Games
X-Men: Destiny,PS3,2011,Action,Activision
Driver '76,PSP,2007,Racing,Ubisoft
Danganronpa: Trigger Happy Havoc,PSP,N/A,Misc,Unknown
Harry Potter and the Order of the Phoenix,PS3,2007,Action,Electronic Arts
Midway Arcade Treasures: Extended Play,PSP,2005,Misc,Midway Games
Nickelodeon Dance,Wii,2011,Misc,Take-Two Interactive
PGA Tour 96,PS,1995,Sports,Electronic Arts
Covert Ops: Nuclear Dawn,PS,2000,Action,Sony Computer Entertainment
Ben 10 Ultimate Alien: Cosmic Destruction,PSP,2010,Platform,D3Publisher
Amazing Adventures: The Forgotten Ruins,DS,2008,Adventure,PopCap Games
Galaga: Destination Earth,PS,2000,Shooter,Hasbro Interactive
Dynasty Warriors 6 Empires,X360,2009,Action,Tecmo Koei
The Testament of Sherlock Holmes,PS3,2012,Adventure,Focus Home Interactive
FIFA World Cup Germany 2006,XB,2006,Sports,Electronic Arts
NBA Live 14,PS4,2013,Sports,Electronic Arts
G.I. Joe: The Rise of Cobra,X360,2009,Action,Electronic Arts
Polly Pocket: Super Splash Island,GBA,2003,Action,Knowledge Adventure
Game of Thrones,PS3,2012,Role-Playing,Focus Home Interactive
God Eater 2,PSP,2013,Role-Playing,Namco Bandai Games
LEGO Marvel's Avengers,WiiU,2016,Action,Warner Bros. Interactive Entertainment
PDC World Championship Darts 2008,Wii,2008,Sports,Oxygen Interactive
X-Men: Destiny,X360,2011,Action,Activision
Sesame Street: Elmo's Number Journey,PS,1998,Misc,NewKidCo
Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,X360,2009,Role-Playing,Bethesda Softworks
Rampage,2600,1988,Action,Activision
Dark Cavern,2600,1981,Shooter,Mattel Interactive
Pictionary: Ultimate Edition,X360,2011,Misc,THQ
Pro Evolution Soccer 2014,X360,2013,Action,Konami Digital Entertainment
The Godfather (US & Others sales),X360,2006,Action,Electronic Arts
We Love Golf!,Wii,2007,Sports,Capcom
Angry Birds,PC,2011,Puzzle,Focus Home Interactive
Pictionary: Ultimate Edition,PS3,2011,Misc,THQ
Pure Futbol,PS3,2010,Sports,Ubisoft
Tiger Woods PGA Tour 10,PSP,2009,Sports,Electronic Arts
Imagine: Zookeeper,DS,2009,Simulation,Ubisoft
Dood's Big Adventure,Wii,2010,Platform,THQ
Afro Samurai,X360,2009,Action,Atari
Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Role-Playing,Tecmo Koei
NASCAR 08,PS2,2007,Racing,Electronic Arts
Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009,Adventure,Ubisoft
Divinity II: Ego Draconis,X360,2009,Role-Playing,DTP Entertainment
Birds of Steel,PS3,2012,Simulation,Konami Digital Entertainment
DC Universe Online,PC,2011,Role-Playing,Sony Online Entertainment
Bakugan: Battle Brawlers,PS3,2009,Action,Activision
Naruto: Path of the Ninja 2,DS,2006,Role-Playing,Takara Tomy
Karaoke Revolution Volume 2,PS2,2004,Misc,Konami Digital Entertainment
Wallace & Gromit in Project Zoo,PS2,2003,Platform,BAM! Entertainment
Are You Smarter than a 5th Grader? Game Time,DS,2009,Puzzle,THQ
Girls Mode 3: Kirakira Code,3DS,2015,Action,Nintendo
Love Plus +,DS,2010,Simulation,Konami Digital Entertainment
Prince of Persia: The Forgotten Sands,Wii,2010,Action,Ubisoft
Disney's A Christmas Carol,DS,2009,Adventure,Disney Interactive Studios
Mobile Suit Gundam: Climax U.C.,PS2,2006,Action,Namco Bandai Games
Street Fighter EX2 Plus,PS,1998,Fighting,Virgin Interactive
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,2016,Action,Square Enix
Big Family Games,Wii,2009,Misc,THQ
Super Robot Taisen D,GBA,2003,Strategy,Banpresto
Jet X20,PS2,N/A,Racing,Unknown
NBA Live 15,PS4,2014,Sports,Electronic Arts
NASCAR Thunder 2004,XB,2003,Racing,Electronic Arts
Buffy the Vampire Slayer,XB,2002,Action,Electronic Arts
MX vs. ATV Reflex,PSP,2009,Racing,THQ
Harry Potter and the Goblet of Fire,XB,2005,Action,Electronic Arts
Transformers: War for Cybertron (DS Version),DS,2010,Shooter,Activision
Sands of Destruction,DS,2008,Role-Playing,Sega
Harry Potter and the Goblet of Fire,DS,2005,Action,Electronic Arts
Viva Pinata: Party Animals,X360,2007,Misc,Microsoft Game Studios
Pro Yakyuu Team o Tsukurou!,DC,1999,Sports,Sega
Shrek's Carnival Craze Party Games,DS,2008,Misc,Activision
Cabela's Big Game Hunter 2012,PS3,2011,Sports,Activision
Hotel for Dogs,DS,2008,Simulation,505 Games
Scrabble (Others sales),DS,2009,Puzzle,Ubisoft
World Series Baseball,XB,2002,Sports,Sega
Test Drive: Eve of Destruction,PS2,2004,Racing,Atari
Starsky & Hutch,XB,2003,Racing,Empire Interactive
Dynasty Warriors: Gundam Reborn,PS3,2013,Action,Tecmo Koei
Hatsune Miku: Project Diva f,PSV,2012,Misc,Sega
The Legend of Heroes: Trails of Cold Steel,PSV,2013,Role-Playing,Nippon Ichi Software
Jeremy McGrath Supercross World,PS2,2001,Racing,Acclaim Entertainment
The Scorpion King: Rise of the Akkadian,PS2,2002,Action,Universal Interactive
Rock Band Country Track Pack,X360,2009,Misc,MTV Games
