Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Action,"0,11","0,07","0,00","0,03","0,21"
Role-Playing,"0,00","0,00","0,20","0,01","0,21"
Platform,"0,00","0,00","0,20","0,01","0,21"
Fighting,"0,11","0,06","0,00","0,04","0,21"
Misc,"0,19","0,00","0,00","0,02","0,21"
Misc,"0,18","0,01","0,00","0,02","0,21"
Action,"0,10","0,08","0,00","0,03","0,21"
Shooter,"0,17","0,04","0,00","0,01","0,21"
Racing,"0,10","0,08","0,00","0,03","0,21"
Action,"0,10","0,08","0,00","0,03","0,21"
Action,"0,18","0,00","0,01","0,01","0,21"
Action,"0,16","0,04","0,00","0,01","0,21"
Sports,"0,17","0,02","0,00","0,02","0,21"
Strategy,"0,10","0,03","0,07","0,01","0,21"
Sports,"0,00","0,00","0,21","0,00","0,21"
Platform,"0,15","0,06","0,00","0,00","0,21"
Role-Playing,"0,00","0,00","0,21","0,00","0,21"
Action,"0,13","0,04","0,03","0,01","0,21"
Sports,"0,16","0,04","0,00","0,01","0,21"
Action,"0,12","0,05","0,02","0,02","0,21"
Sports,"0,16","0,04","0,00","0,01","0,21"
Racing,"0,12","0,08","0,00","0,01","0,21"
Action,"0,07","0,09","0,00","0,04","0,21"
Fighting,"0,17","0,01","0,00","0,02","0,21"
Fighting,"0,00","0,03","0,17","0,01","0,21"
Platform,"0,11","0,07","0,00","0,03","0,21"
Sports,"0,06","0,05","0,08","0,02","0,21"
Shooter,"0,19","0,00","0,00","0,01","0,21"
Sports,"0,10","0,08","0,00","0,03","0,21"
Role-Playing,"0,09","0,00","0,11","0,01","0,21"
Action,"0,10","0,08","0,00","0,03","0,21"
Action,"0,07","0,11","0,00","0,02","0,21"
Strategy,"0,00","0,00","0,21","0,00","0,21"
Misc,"0,19","0,00","0,00","0,01","0,21"
Fighting,"0,12","0,08","0,00","0,01","0,21"
Platform,"0,14","0,00","0,05","0,02","0,21"
Action,"0,12","0,07","0,00","0,02","0,21"
Sports,"0,19","0,00","0,00","0,02","0,21"
Simulation,"0,11","0,08","0,00","0,02","0,21"
Sports,"0,19","0,00","0,00","0,02","0,21"
Sports,"0,18","0,01","0,00","0,01","0,21"
Role-Playing,"0,00","0,00","0,21","0,00","0,21"
Action,"0,10","0,08","0,00","0,03","0,21"
Racing,"0,19","0,00","0,00","0,01","0,21"
Shooter,"0,14","0,04","0,00","0,02","0,21"
Sports,"0,15","0,04","0,00","0,01","0,21"
Fighting,"0,00","0,00","0,21","0,00","0,21"
Sports,"0,19","0,00","0,00","0,02","0,21"
Sports,"0,10","0,08","0,00","0,03","0,21"
Adventure,"0,00","0,00","0,19","0,01","0,21"
Sports,"0,19","0,00","0,00","0,02","0,21"
Misc,"0,00","0,00","0,21","0,00","0,21"
Misc,"0,19","0,00","0,00","0,01","0,21"
Misc,"0,19","0,00","0,00","0,01","0,21"
Misc,"0,15","0,05","0,00","0,00","0,21"
Sports,"0,00","0,00","0,21","0,00","0,21"
Fighting,"0,09","0,03","0,08","0,00","0,21"
Sports,"0,09","0,08","0,00","0,03","0,21"
Sports,"0,19","0,00","0,00","0,02","0,21"
Sports,"0,04","0,03","0,12","0,01","0,21"
Action,"0,16","0,03","0,00","0,01","0,21"
Role-Playing,"0,12","0,03","0,05","0,01","0,21"
Sports,"0,15","0,04","0,00","0,01","0,21"
Action,"0,16","0,04","0,00","0,01","0,21"
Action,"0,00","0,00","0,21","0,00","0,21"
Sports,"0,00","0,00","0,21","0,00","0,21"
Shooter,"0,11","0,08","0,00","0,02","0,21"
Adventure,"0,11","0,08","0,00","0,01","0,21"
Simulation,"0,19","0,00","0,00","0,01","0,21"
Action,"0,00","0,00","0,21","0,00","0,21"
Fighting,"0,16","0,04","0,00","0,01","0,21"
Platform,"0,15","0,04","0,00","0,01","0,21"
Action,"0,15","0,05","0,00","0,00","0,21"
Action,"0,15","0,01","0,03","0,01","0,21"
Action,"0,18","0,02","0,00","0,01","0,21"
Shooter,"0,07","0,05","0,06","0,02","0,21"
Misc,"0,15","0,05","0,00","0,00","0,20"
Fighting,"0,00","0,00","0,20","0,00","0,20"
Action,"0,19","0,00","0,00","0,01","0,20"
Action,"0,15","0,05","0,00","0,00","0,20"
Strategy,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,19","0,00","0,00","0,02","0,20"
Fighting,"0,10","0,08","0,00","0,03","0,20"
Action,"0,04","0,13","0,00","0,03","0,20"
Strategy,"0,00","0,00","0,20","0,00","0,20"
Action,"0,08","0,06","0,01","0,05","0,20"
Sports,"0,10","0,08","0,00","0,03","0,20"
Racing,"0,15","0,04","0,00","0,01","0,20"
Puzzle,"0,00","0,00","0,20","0,00","0,20"
Action,"0,10","0,03","0,06","0,02","0,20"
Simulation,"0,06","0,00","0,14","0,01","0,20"
Action,"0,10","0,09","0,00","0,02","0,20"
Action,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,00","0,02","0,00","0,19","0,20"
Strategy,"0,06","0,05","0,07","0,02","0,20"
Sports,"0,15","0,04","0,00","0,01","0,20"
Shooter,"0,06","0,12","0,00","0,02","0,20"
Role-Playing,"0,00","0,19","0,00","0,01","0,20"
Role-Playing,"0,00","0,00","0,20","0,00","0,20"
Racing,"0,14","0,04","0,02","0,01","0,20"
Racing,"0,15","0,04","0,00","0,01","0,20"
Sports,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,15","0,05","0,00","0,00","0,20"
Misc,"0,10","0,08","0,00","0,03","0,20"
Strategy,"0,18","0,00","0,00","0,02","0,20"
Racing,"0,00","0,00","0,20","0,00","0,20"
Shooter,"0,09","0,09","0,00","0,03","0,20"
Role-Playing,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,00","0,19","0,00","0,01","0,20"
Fighting,"0,10","0,08","0,00","0,03","0,20"
Sports,"0,10","0,08","0,00","0,03","0,20"
Sports,"0,00","0,00","0,20","0,00","0,20"
Role-Playing,"0,07","0,05","0,05","0,03","0,20"
Simulation,"0,14","0,04","0,00","0,02","0,20"
Racing,"0,10","0,08","0,00","0,03","0,20"
Misc,"0,16","0,04","0,00","0,01","0,20"
Strategy,"0,00","0,00","0,20","0,00","0,20"
Shooter,"0,05","0,12","0,00","0,03","0,20"
Adventure,"0,10","0,08","0,00","0,02","0,20"
Sports,"0,15","0,04","0,00","0,01","0,20"
Fighting,"0,00","0,00","0,20","0,00","0,20"
Fighting,"0,18","0,00","0,00","0,02","0,20"
Platform,"0,10","0,08","0,00","0,03","0,20"
Fighting,"0,00","0,00","0,20","0,01","0,20"
Racing,"0,17","0,01","0,00","0,02","0,20"
Misc,"0,00","0,20","0,00","0,00","0,20"
Sports,"0,14","0,05","0,00","0,00","0,20"
Role-Playing,"0,17","0,01","0,00","0,02","0,20"
Racing,"0,09","0,07","0,02","0,02","0,20"
Action,"0,18","0,00","0,00","0,02","0,20"
Role-Playing,"0,07","0,02","0,10","0,02","0,20"
Sports,"0,10","0,08","0,00","0,03","0,20"
Fighting,"0,00","0,00","0,20","0,00","0,20"
Role-Playing,"0,19","0,00","0,00","0,02","0,20"
Simulation,"0,14","0,05","0,00","0,00","0,20"
Platform,"0,16","0,04","0,00","0,01","0,20"
Simulation,"0,00","0,00","0,20","0,00","0,20"
Shooter,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,17","0,02","0,00","0,01","0,20"
Action,"0,00","0,00","0,20","0,00","0,20"
Platform,"0,14","0,05","0,00","0,00","0,20"
Sports,"0,15","0,04","0,00","0,01","0,20"
Action,"0,16","0,00","0,03","0,01","0,20"
Sports,"0,15","0,03","0,00","0,02","0,20"
Role-Playing,"0,00","0,00","0,20","0,00","0,20"
Racing,"0,15","0,04","0,00","0,01","0,20"
Misc,"0,00","0,00","0,20","0,00","0,20"
Racing,"0,16","0,04","0,00","0,01","0,20"
Misc,"0,00","0,18","0,00","0,03","0,20"
Role-Playing,"0,16","0,02","0,01","0,02","0,20"
Action,"0,17","0,01","0,00","0,02","0,20"
Shooter,"0,10","0,08","0,00","0,03","0,20"
Sports,"0,14","0,05","0,00","0,00","0,20"
Sports,"0,06","0,13","0,00","0,01","0,20"
Adventure,"0,11","0,07","0,00","0,02","0,20"
Role-Playing,"0,06","0,04","0,09","0,01","0,20"
Action,"0,00","0,17","0,00","0,03","0,20"
Sports,"0,16","0,02","0,00","0,02","0,20"
Action,"0,06","0,09","0,01","0,03","0,20"
Shooter,"0,11","0,08","0,00","0,01","0,20"
Simulation,"0,11","0,07","0,00","0,02","0,20"
Action,"0,11","0,07","0,00","0,02","0,20"
Racing,"0,00","0,14","0,01","0,04","0,20"
Role-Playing,"0,07","0,04","0,07","0,02","0,20"
Misc,"0,19","0,00","0,00","0,01","0,20"
Misc,"0,10","0,08","0,00","0,03","0,20"
Platform,"0,15","0,04","0,00","0,01","0,20"
Misc,"0,10","0,08","0,00","0,02","0,20"
Racing,"0,11","0,08","0,00","0,01","0,20"
Action,"0,12","0,03","0,03","0,02","0,20"
Role-Playing,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,18","0,00","0,00","0,02","0,20"
Action,"0,02","0,00","0,18","0,00","0,20"
Sports,"0,15","0,04","0,00","0,01","0,20"
Racing,"0,18","0,00","0,00","0,02","0,20"
Role-Playing,"0,06","0,05","0,07","0,01","0,20"
Sports,"0,10","0,08","0,00","0,03","0,20"
Action,"0,15","0,04","0,00","0,01","0,20"
Shooter,"0,16","0,04","0,00","0,00","0,20"
Racing,"0,16","0,04","0,00","0,00","0,20"
Strategy,"0,00","0,00","0,20","0,00","0,20"
Sports,"0,16","0,04","0,00","0,00","0,20"
Platform,"0,16","0,04","0,00","0,00","0,20"
Sports,"0,00","0,00","0,17","0,03","0,20"
Racing,"0,06","0,13","0,00","0,01","0,20"
Puzzle,"0,13","0,02","0,05","0,00","0,20"
Sports,"0,16","0,04","0,00","0,00","0,20"
Platform,"0,16","0,04","0,00","0,00","0,20"
Racing,"0,16","0,04","0,00","0,00","0,20"
Sports,"0,18","0,00","0,00","0,02","0,20"
Role-Playing,"0,09","0,09","0,00","0,02","0,20"
Racing,"0,15","0,04","0,00","0,01","0,20"
Role-Playing,"0,00","0,00","0,20","0,00","0,20"
Role-Playing,"0,05","0,02","0,12","0,01","0,20"
Shooter,"0,17","0,01","0,00","0,02","0,20"
Fighting,"0,06","0,07","0,05","0,01","0,20"
Role-Playing,"0,16","0,03","0,00","0,02","0,20"
Simulation,"0,18","0,00","0,00","0,01","0,20"
Misc,"0,00","0,16","0,00","0,04","0,20"
Misc,"0,00","0,00","0,20","0,00","0,20"
Racing,"0,10","0,08","0,00","0,03","0,20"
Misc,"0,14","0,05","0,00","0,00","0,20"
Strategy,"0,00","0,00","0,19","0,01","0,20"
Sports,"0,10","0,08","0,00","0,03","0,20"
Shooter,"0,10","0,07","0,02","0,02","0,20"
Adventure,"0,11","0,07","0,00","0,02","0,20"
Sports,"0,15","0,04","0,00","0,01","0,20"
Role-Playing,"0,00","0,00","0,20","0,00","0,20"
Sports,"0,00","0,19","0,00","0,01","0,20"
Action,"0,15","0,04","0,00","0,01","0,20"
Action,"0,10","0,09","0,00","0,02","0,20"
Shooter,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,18","0,00","0,00","0,01","0,20"
Simulation,"0,11","0,06","0,00","0,03","0,20"
Sports,"0,00","0,00","0,20","0,00","0,20"
Sports,"0,19","0,00","0,00","0,01","0,20"
Misc,"0,16","0,03","0,00","0,01","0,20"
Action,"0,12","0,06","0,00","0,02","0,20"
Sports,"0,10","0,08","0,00","0,03","0,20"
Misc,"0,18","0,00","0,00","0,01","0,20"
Role-Playing,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,02","0,01","0,16","0,01","0,20"
Racing,"0,10","0,02","0,07","0,01","0,20"
Action,"0,15","0,04","0,00","0,01","0,20"
Sports,"0,15","0,04","0,00","0,01","0,20"
Sports,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,00","0,20","0,00","0,00","0,20"
Action,"0,10","0,08","0,00","0,03","0,20"
Simulation,"0,14","0,03","0,01","0,02","0,20"
Role-Playing,"0,18","0,00","0,01","0,01","0,20"
Strategy,"0,10","0,08","0,00","0,03","0,20"
Shooter,"0,06","0,04","0,08","0,02","0,20"
Sports,"0,15","0,04","0,00","0,01","0,20"
Sports,"0,00","0,00","0,20","0,00","0,20"
Platform,"0,15","0,04","0,00","0,01","0,20"
Misc,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,10","0,08","0,00","0,03","0,20"
Puzzle,"0,11","0,07","0,00","0,01","0,20"
Puzzle,"0,15","0,04","0,00","0,01","0,20"
Strategy,"0,07","0,10","0,00","0,02","0,20"
Action,"0,07","0,09","0,00","0,03","0,20"
Action,"0,10","0,08","0,00","0,03","0,20"
Sports,"0,00","0,00","0,20","0,00","0,20"
Shooter,"0,18","0,00","0,00","0,02","0,20"
Action,"0,12","0,05","0,00","0,03","0,20"
Racing,"0,10","0,08","0,00","0,03","0,20"
Puzzle,"0,18","0,00","0,00","0,01","0,20"
Misc,"0,17","0,02","0,00","0,01","0,20"
Sports,"0,14","0,05","0,00","0,00","0,20"
Action,"0,15","0,03","0,00","0,01","0,20"
Simulation,"0,10","0,08","0,00","0,02","0,20"
Action,"0,10","0,05","0,00","0,04","0,20"
Simulation,"0,10","0,08","0,00","0,03","0,20"
Sports,"0,00","0,00","0,20","0,00","0,20"
Strategy,"0,16","0,01","0,00","0,02","0,20"
Role-Playing,"0,00","0,00","0,20","0,00","0,20"
Racing,"0,12","0,06","0,00","0,02","0,20"
Sports,"0,18","0,00","0,00","0,01","0,20"
Action,"0,00","0,00","0,18","0,01","0,20"
Action,"0,14","0,05","0,00","0,00","0,20"
Role-Playing,"0,10","0,02","0,07","0,01","0,20"
Platform,"0,14","0,05","0,00","0,00","0,20"
Misc,"0,15","0,04","0,00","0,01","0,20"
Adventure,"0,15","0,04","0,00","0,01","0,20"
Action,"0,11","0,07","0,00","0,01","0,20"
Action,"0,14","0,05","0,00","0,00","0,20"
Role-Playing,"0,14","0,02","0,02","0,02","0,20"
Sports,"0,00","0,00","0,20","0,00","0,20"
Misc,"0,00","0,00","0,20","0,00","0,20"
Strategy,"0,18","0,00","0,00","0,02","0,20"
Role-Playing,"0,15","0,04","0,00","0,01","0,20"
Action,"0,15","0,04","0,00","0,01","0,20"
Puzzle,"0,07","0,11","0,00","0,02","0,20"
Role-Playing,"0,00","0,00","0,20","0,00","0,20"
Fighting,"0,14","0,05","0,00","0,01","0,20"
Action,"0,17","0,01","0,00","0,02","0,20"
Action,"0,10","0,07","0,00","0,03","0,20"
Sports,"0,14","0,04","0,00","0,01","0,20"
Fighting,"0,04","0,04","0,10","0,02","0,20"
Action,"0,15","0,03","0,00","0,02","0,20"
Racing,"0,10","0,07","0,00","0,03","0,20"
Simulation,"0,09","0,00","0,09","0,01","0,20"
Adventure,"0,00","0,17","0,00","0,03","0,20"
Role-Playing,"0,08","0,04","0,07","0,01","0,20"
Sports,"0,10","0,07","0,00","0,02","0,20"
Role-Playing,"0,07","0,05","0,05","0,02","0,20"
Action,"0,10","0,07","0,00","0,02","0,20"
Misc,"0,00","0,17","0,00","0,03","0,20"
Action,"0,03","0,12","0,02","0,03","0,20"
Misc,"0,14","0,05","0,00","0,00","0,20"
Adventure,"0,13","0,05","0,00","0,02","0,20"
Racing,"0,15","0,04","0,00","0,01","0,19"
Action,"0,00","0,03","0,16","0,01","0,19"
Misc,"0,10","0,07","0,00","0,02","0,19"
Platform,"0,14","0,05","0,00","0,00","0,19"
Fighting,"0,07","0,06","0,04","0,02","0,19"
Shooter,"0,17","0,01","0,00","0,02","0,19"
Misc,"0,18","0,00","0,00","0,01","0,19"
Adventure,"0,07","0,10","0,00","0,02","0,19"
Fighting,"0,00","0,00","0,18","0,01","0,19"
Sports,"0,18","0,00","0,00","0,02","0,19"
Action,"0,18","0,00","0,00","0,02","0,19"
Action,"0,02","0,16","0,00","0,02","0,19"
Shooter,"0,10","0,07","0,00","0,02","0,19"
Sports,"0,14","0,04","0,00","0,02","0,19"
Action,"0,16","0,00","0,00","0,04","0,19"
Action,"0,17","0,00","0,00","0,02","0,19"
Action,"0,00","0,00","0,19","0,00","0,19"
Misc,"0,00","0,00","0,19","0,00","0,19"
Role-Playing,"0,14","0,05","0,00","0,00","0,19"
Action,"0,15","0,03","0,00","0,01","0,19"
Misc,"0,00","0,00","0,19","0,00","0,19"
Simulation,"0,18","0,00","0,00","0,01","0,19"
Racing,"0,05","0,11","0,00","0,03","0,19"
Sports,"0,08","0,08","0,00","0,03","0,19"
Platform,"0,15","0,04","0,00","0,01","0,19"
Action,"0,16","0,02","0,00","0,01","0,19"
Adventure,"0,00","0,00","0,19","0,00","0,19"
Action,"0,14","0,05","0,00","0,00","0,19"
Sports,"0,00","0,00","0,19","0,00","0,19"
Simulation,"0,18","0,00","0,00","0,01","0,19"
Role-Playing,"0,13","0,00","0,06","0,01","0,19"
Sports,"0,00","0,00","0,18","0,01","0,19"
Action,"0,10","0,04","0,04","0,02","0,19"
Misc,"0,00","0,00","0,19","0,00","0,19"
Role-Playing,"0,05","0,00","0,14","0,01","0,19"
Shooter,"0,00","0,17","0,00","0,02","0,19"
Action,"0,10","0,06","0,00","0,03","0,19"
Misc,"0,10","0,04","0,04","0,01","0,19"
Action,"0,14","0,04","0,00","0,01","0,19"
Sports,"0,09","0,07","0,00","0,02","0,19"
Action,"0,07","0,03","0,08","0,01","0,19"
Misc,"0,18","0,00","0,00","0,01","0,19"
Role-Playing,"0,08","0,09","0,00","0,03","0,19"
Action,"0,13","0,04","0,00","0,02","0,19"
Role-Playing,"0,16","0,02","0,00","0,01","0,19"
Misc,"0,18","0,00","0,00","0,02","0,19"
Action,"0,00","0,00","0,19","0,00","0,19"
Sports,"0,00","0,00","0,19","0,00","0,19"
Misc,"0,14","0,04","0,00","0,01","0,19"
Simulation,"0,00","0,00","0,19","0,00","0,19"
Misc,"0,15","0,02","0,02","0,01","0,19"
Role-Playing,"0,09","0,07","0,00","0,02","0,19"
Sports,"0,00","0,00","0,19","0,00","0,19"
Strategy,"0,00","0,00","0,19","0,00","0,19"
Role-Playing,"0,08","0,00","0,11","0,01","0,19"
Racing,"0,11","0,07","0,00","0,01","0,19"
Action,"0,00","0,00","0,19","0,00","0,19"
Shooter,"0,11","0,07","0,00","0,01","0,19"
Action,"0,07","0,09","0,01","0,01","0,19"
Misc,"0,10","0,06","0,00","0,03","0,19"
Simulation,"0,18","0,00","0,00","0,01","0,19"
Adventure,"0,15","0,04","0,00","0,01","0,19"
Role-Playing,"0,16","0,02","0,00","0,02","0,19"
Misc,"0,18","0,00","0,00","0,01","0,19"
Shooter,"0,08","0,09","0,00","0,02","0,19"
Action,"0,08","0,10","0,00","0,02","0,19"
Role-Playing,"0,05","0,11","0,00","0,03","0,19"
Misc,"0,18","0,00","0,00","0,01","0,19"
Racing,"0,09","0,07","0,00","0,02","0,19"
Shooter,"0,09","0,07","0,00","0,02","0,19"
Puzzle,"0,05","0,12","0,00","0,02","0,19"
Action,"0,14","0,04","0,00","0,01","0,19"
Role-Playing,"0,17","0,01","0,00","0,01","0,19"
Misc,"0,11","0,06","0,00","0,02","0,19"
Misc,"0,09","0,07","0,00","0,02","0,19"
Role-Playing,"0,00","0,00","0,19","0,00","0,19"
Action,"0,16","0,01","0,00","0,02","0,19"
Fighting,"0,11","0,07","0,00","0,02","0,19"
Strategy,"0,09","0,07","0,00","0,02","0,19"
Platform,"0,16","0,02","0,00","0,02","0,19"
Shooter,"0,09","0,07","0,00","0,02","0,19"
Action,"0,17","0,00","0,00","0,01","0,19"
Sports,"0,14","0,05","0,00","0,00","0,19"
Action,"0,13","0,03","0,00","0,03","0,19"
Sports,"0,00","0,00","0,19","0,00","0,19"
Adventure,"0,00","0,00","0,19","0,00","0,19"
Sports,"0,09","0,07","0,00","0,02","0,19"
Strategy,"0,11","0,07","0,00","0,01","0,19"
Action,"0,11","0,05","0,00","0,03","0,19"
Action,"0,00","0,00","0,19","0,00","0,19"
Fighting,"0,00","0,00","0,18","0,01","0,19"
Shooter,"0,17","0,01","0,00","0,01","0,19"
Action,"0,09","0,09","0,00","0,02","0,19"
Strategy,"0,00","0,15","0,00","0,04","0,19"
Adventure,"0,17","0,01","0,00","0,01","0,19"
Shooter,"0,05","0,09","0,02","0,03","0,19"
Simulation,"0,12","0,06","0,00","0,02","0,19"
Misc,"0,12","0,05","0,00","0,02","0,19"
Simulation,"0,00","0,00","0,19","0,00","0,19"
Misc,"0,09","0,07","0,00","0,02","0,19"
Misc,"0,09","0,07","0,00","0,02","0,19"
Fighting,"0,11","0,07","0,00","0,01","0,19"
Sports,"0,00","0,15","0,00","0,04","0,19"
Misc,"0,09","0,07","0,00","0,02","0,19"
Role-Playing,"0,00","0,00","0,19","0,00","0,19"
Adventure,"0,14","0,05","0,00","0,00","0,19"
Action,"0,06","0,07","0,03","0,03","0,19"
Sports,"0,14","0,04","0,00","0,01","0,19"
Misc,"0,13","0,05","0,00","0,02","0,19"
Misc,"0,09","0,07","0,00","0,02","0,19"
Adventure,"0,14","0,05","0,00","0,00","0,19"
Role-Playing,"0,14","0,04","0,00","0,01","0,19"
Adventure,"0,14","0,03","0,00","0,01","0,19"
Action,"0,11","0,06","0,01","0,02","0,19"
Role-Playing,"0,12","0,00","0,06","0,01","0,19"
Adventure,"0,00","0,00","0,19","0,00","0,19"
Racing,"0,14","0,03","0,00","0,01","0,19"
Shooter,"0,15","0,04","0,00","0,00","0,19"
Action,"0,15","0,03","0,00","0,01","0,19"
Misc,"0,15","0,04","0,00","0,00","0,19"
Shooter,"0,15","0,04","0,00","0,00","0,19"
Fighting,"0,15","0,04","0,00","0,00","0,19"
Puzzle,"0,00","0,00","0,16","0,03","0,19"
Action,"0,15","0,04","0,00","0,00","0,19"
Sports,"0,00","0,00","0,19","0,00","0,19"
Role-Playing,"0,07","0,10","0,00","0,01","0,19"
Adventure,"0,00","0,00","0,19","0,00","0,19"
Action,"0,15","0,04","0,00","0,01","0,19"
Sports,"0,09","0,07","0,00","0,02","0,19"
Sports,"0,17","0,00","0,00","0,02","0,19"
Action,"0,00","0,00","0,19","0,00","0,19"
Sports,"0,14","0,05","0,00","0,00","0,19"
Action,"0,00","0,00","0,19","0,00","0,19"
Strategy,"0,11","0,07","0,00","0,01","0,19"
Action,"0,18","0,00","0,00","0,01","0,19"
Simulation,"0,18","0,00","0,00","0,01","0,19"
Sports,"0,00","0,00","0,19","0,00","0,19"
Fighting,"0,10","0,07","0,00","0,02","0,19"
Fighting,"0,02","0,01","0,16","0,00","0,19"
Fighting,"0,15","0,02","0,00","0,02","0,19"
Sports,"0,09","0,07","0,00","0,02","0,19"
Action,"0,17","0,01","0,00","0,01","0,19"
Role-Playing,"0,14","0,05","0,00","0,00","0,19"
Shooter,"0,09","0,07","0,00","0,02","0,19"
Action,"0,12","0,03","0,01","0,02","0,19"
Puzzle,"0,01","0,15","0,00","0,02","0,19"
Fighting,"0,09","0,08","0,00","0,02","0,19"
Misc,"0,00","0,00","0,19","0,00","0,19"
Racing,"0,18","0,00","0,00","0,01","0,19"
Action,"0,15","0,02","0,00","0,01","0,19"
Platform,"0,17","0,00","0,00","0,01","0,19"
Action,"0,15","0,04","0,00","0,01","0,19"
Misc,"0,09","0,07","0,00","0,02","0,19"
Shooter,"0,18","0,00","0,00","0,01","0,19"
Role-Playing,"0,00","0,00","0,19","0,00","0,19"
Shooter,"0,09","0,07","0,00","0,02","0,19"
Misc,"0,00","0,16","0,00","0,02","0,19"
Sports,"0,09","0,07","0,00","0,02","0,19"
Action,"0,09","0,07","0,00","0,02","0,19"
Shooter,"0,10","0,06","0,01","0,03","0,19"
Action,"0,06","0,11","0,00","0,02","0,19"
Shooter,"0,08","0,10","0,00","0,02","0,19"
Sports,"0,00","0,15","0,00","0,04","0,19"
Action,"0,07","0,07","0,03","0,01","0,19"
Misc,"0,17","0,00","0,00","0,01","0,19"
Action,"0,18","0,00","0,00","0,01","0,19"
Platform,"0,15","0,04","0,00","0,01","0,19"
Sports,"0,18","0,01","0,00","0,00","0,19"
Strategy,"0,00","0,00","0,18","0,01","0,19"
Action,"0,00","0,00","0,19","0,00","0,19"
Simulation,"0,06","0,02","0,10","0,01","0,19"
Sports,"0,10","0,07","0,00","0,01","0,19"
Strategy,"0,00","0,00","0,19","0,00","0,19"
Misc,"0,00","0,00","0,19","0,00","0,19"
Sports,"0,00","0,00","0,18","0,01","0,19"
Adventure,"0,09","0,06","0,00","0,03","0,19"
Action,"0,14","0,04","0,00","0,01","0,19"
Role-Playing,"0,00","0,00","0,19","0,00","0,19"
Adventure,"0,17","0,00","0,00","0,01","0,19"
Puzzle,"0,00","0,00","0,19","0,00","0,19"
Action,"0,11","0,00","0,00","0,08","0,19"
Sports,"0,10","0,07","0,00","0,01","0,19"
Fighting,"0,10","0,04","0,01","0,03","0,19"
Strategy,"0,00","0,00","0,19","0,00","0,19"
Role-Playing,"0,02","0,02","0,13","0,01","0,19"
Sports,"0,00","0,00","0,19","0,00","0,19"
Misc,"0,17","0,01","0,00","0,01","0,19"
Racing,"0,05","0,11","0,00","0,03","0,19"
Misc,"0,12","0,00","0,06","0,01","0,19"
Misc,"0,00","0,00","0,19","0,00","0,19"
Action,"0,09","0,07","0,00","0,02","0,19"
Simulation,"0,00","0,00","0,19","0,00","0,19"
Misc,"0,00","0,00","0,19","0,00","0,19"
Misc,"0,00","0,16","0,00","0,03","0,19"
Action,"0,15","0,00","0,03","0,01","0,19"
Role-Playing,"0,07","0,11","0,00","0,01","0,19"
Role-Playing,"0,16","0,00","0,02","0,01","0,19"
Action,"0,15","0,01","0,02","0,01","0,19"
Adventure,"0,00","0,00","0,19","0,00","0,19"
Shooter,"0,17","0,00","0,00","0,02","0,19"
Simulation,"0,18","0,00","0,00","0,01","0,19"
Simulation,"0,12","0,05","0,00","0,02","0,19"
Action,"0,04","0,13","0,00","0,01","0,19"
Misc,"0,17","0,00","0,00","0,01","0,19"
Adventure,"0,07","0,00","0,11","0,01","0,19"
Sports,"0,11","0,05","0,00","0,03","0,19"
Platform,"0,13","0,05","0,00","0,00","0,19"
Sports,"0,12","0,00","0,06","0,01","0,19"
Shooter,"0,05","0,10","0,00","0,03","0,19"
Action,"0,09","0,06","0,02","0,02","0,19"
Misc,"0,00","0,00","0,19","0,00","0,19"
Simulation,"0,08","0,07","0,00","0,04","0,19"
Simulation,"0,10","0,07","0,00","0,01","0,19"
Simulation,"0,13","0,04","0,00","0,01","0,19"
Sports,"0,00","0,00","0,19","0,00","0,19"
Misc,"0,00","0,00","0,19","0,00","0,19"
Adventure,"0,13","0,05","0,00","0,00","0,19"
Action,"0,00","0,00","0,19","0,00","0,19"
Action,"0,13","0,05","0,00","0,00","0,19"
Racing,"0,17","0,00","0,00","0,01","0,19"
Action,"0,13","0,03","0,00","0,02","0,19"
Platform,"0,10","0,07","0,00","0,01","0,19"
Sports,"0,09","0,07","0,00","0,02","0,19"
Strategy,"0,09","0,07","0,00","0,02","0,19"
Misc,"0,00","0,00","0,19","0,00","0,19"
Sports,"0,17","0,00","0,00","0,01","0,19"
Strategy,"0,00","0,00","0,19","0,00","0,19"
Shooter,"0,09","0,07","0,00","0,02","0,19"
Action,"0,13","0,05","0,00","0,00","0,19"
Adventure,"0,12","0,04","0,00","0,02","0,19"
Sports,"0,18","0,00","0,00","0,01","0,19"
Role-Playing,"0,00","0,00","0,19","0,00","0,19"
Action,"0,00","0,00","0,19","0,00","0,19"
Racing,"0,12","0,03","0,03","0,01","0,19"
Racing,"0,00","0,15","0,00","0,04","0,19"
Simulation,"0,10","0,06","0,00","0,03","0,19"
Action,"0,09","0,07","0,00","0,02","0,19"
